match_id,date,begin_at,end_at,team_1,team_2,team_1_id,team_2_id,team_1_score,team_2_score,winner,winner_id,status,match_type,number_of_games,league,serie,tournament,event_name
674108,2022-11-16,,,EYEBALLERS,Lagom,131189,131973,1,0,EYEBALLERS,131189,finished,best_of,1,ESEA,Advanced Europe,Regular Season,ESEA / Advanced Europe / Regular Season
674134,2022-11-16,,,n3wb0rn,THUNDR Esports,132079,131981,0,1,THUNDR Esports,131981,finished,best_of,1,ESEA,Advanced Europe,Regular Season,ESEA / Advanced Europe / Regular Season
674135,2022-11-16,,,OnlineBOTS,Team Atlantic,131983,130117,0,1,Team Atlantic,130117,finished,best_of,1,ESEA,Advanced Europe,Regular Season,ESEA / Advanced Europe / Regular Season
674116,2022-11-15,2022-11-15T23:00:00Z,,NASR,LDLC,60205,3230,0,1,LDLC,3230,finished,best_of,1,ESEA,Advanced Europe,Regular Season,ESEA / Advanced Europe / Regular Season
676284,2022-11-10,,,Goodfellas,glaani,129833,132106,2,0,Goodfellas,129833,finished,best_of,3,Fragleague,—,Group A,Fragleague / Group A
670897,2022-11-10,,,Take Aim Gaming,Cryptova,131269,128892,0,1,Cryptova,128892,finished,best_of,1,ESEA,Advanced Europe,Regular Season,ESEA / Advanced Europe / Regular Season
676290,2022-11-07,,,Enhanced Esports Club,Poggerz,128520,132105,2,0,Enhanced Esports Club,128520,finished,best_of,3,Fragleague,—,Group B,Fragleague / Group B
676288,2022-11-04,,,Lilmix,Poggerz,126417,132105,2,0,Lilmix,126417,finished,best_of,3,Fragleague,—,Group B,Fragleague / Group B
676286,2022-10-29,,,Kirikou,Poggerz,131610,132105,2,0,Kirikou,131610,finished,best_of,3,Fragleague,—,Group B,Fragleague / Group B
648814,2022-09-09,,,Entropiq Prague,Hotspurs,128942,131613,1,0,Entropiq Prague,128942,finished,best_of,1,ESEA,Advanced Europe,Regular Season,ESEA / Advanced Europe / Regular Season
641546,2022-07-08,,,Anonymo,PALOMA,128416,130291,1,0,Anonymo,128416,finished,best_of,1,ESL Challenger,Melbourne: European Open Qualifier #1,Playoffs,ESL Challenger / Melbourne: European Open Qualifier #1 / Playoffs
638253,2022-06-10,,,UNION88,Apeks,130802,126755,1,0,UNION88,130802,finished,best_of,1,ESEA,Advanced Europe,Regular,ESEA / Advanced Europe / Regular
637486,2022-06-07,2022-06-07T18:00:00Z,,pe4c3,Apeks Rebels,130799,129382,1,0,pe4c3,130799,finished,best_of,1,ESEA,Advanced Europe,Regular,ESEA / Advanced Europe / Regular
635652,2022-05-29,,,Los Grandes,UNO MILLE,129915,130605,0,2,UNO MILLE,130605,finished,best_of,3,RedZone PRO,—,Group A,RedZone PRO / Group A
635647,2022-05-28,2022-05-28T17:45:00Z,,The Union,Los Grandes,129372,129915,2,0,The Union,129372,finished,best_of,3,RedZone PRO,—,Group A,RedZone PRO / Group A
624592,2022-02-25,2022-02-25T21:15:00Z,,Lausanne-Sport Esports,Arctic,130526,128704,1,0,Lausanne-Sport Esports,130526,finished,best_of,1,ESL Swiss League,—,Group Stage,ESL Swiss League / Group Stage
624591,2022-02-25,,,Arctic,Lausanne-Sport Esports,128704,130526,0,1,Lausanne-Sport Esports,130526,finished,best_of,1,ESL Swiss League,—,Group Stage,ESL Swiss League / Group Stage
615113,2021-11-14,,,D13,INDE IRAE,127043,129319,0,2,INDE IRAE,129319,finished,best_of,3,RESF Open Cup,—,Playoffs,RESF Open Cup / Playoffs
615115,2021-11-13,2021-11-13T09:00:00Z,,iNation,Ha MaSSe,129606,126946,2,0,iNation,129606,finished,best_of,3,RESF Open Cup,—,Playoffs,RESF Open Cup / Playoffs
615111,2021-11-13,2021-11-13T09:00:00Z,,Free TON,Moralezz,129092,129422,2,1,Free TON,129092,finished,best_of,3,RESF Open Cup,—,Playoffs,RESF Open Cup / Playoffs
611248,2021-10-29,,,Brute,GLORE,126624,129357,0,2,GLORE,129357,finished,best_of,3,SAZKA eLEAGUE,—,Relegation,SAZKA eLEAGUE / Relegation
590307,2021-04-16,2021-04-16T10:00:00Z,,NJ,Steel Helmet,128875,128874,1,0,NJ,128875,finished,best_of,1,Perfect World League,Open Qualifier 2,Playoffs,Perfect World League / Open Qualifier 2 / Playoffs
590313,2021-04-16,,,CN-CQF,Checkmate,127979,127706,0,1,Checkmate,127706,finished,best_of,1,Perfect World League,Open Qualifier 2,Playoffs,Perfect World League / Open Qualifier 2 / Playoffs
590312,2021-04-16,,,old Z,ZIGMA,128877,126895,0,1,ZIGMA,126895,finished,best_of,1,Perfect World League,Open Qualifier 2,Playoffs,Perfect World League / Open Qualifier 2 / Playoffs
590311,2021-04-16,2021-04-16T10:00:00Z,,Lynn Vision,TBC,126439,128064,1,0,Lynn Vision,126439,finished,best_of,1,Perfect World League,Open Qualifier 2,Playoffs,Perfect World League / Open Qualifier 2 / Playoffs
590310,2021-04-16,2021-04-16T10:00:00Z,,HZ,w2c,126806,127326,1,0,HZ,126806,finished,best_of,1,Perfect World League,Open Qualifier 2,Playoffs,Perfect World League / Open Qualifier 2 / Playoffs
590308,2021-04-16,2021-04-16T10:00:00Z,,CatEvil,After,128871,127863,0,1,After,127863,finished,best_of,1,Perfect World League,Open Qualifier 2,Playoffs,Perfect World League / Open Qualifier 2 / Playoffs
585829,2021-03-05,,,Reece,SEKINLO,128065,128663,2,0,Reece,128065,finished,best_of,2,Huya DarkHorse League,—,Group Stage,Huya DarkHorse League / Group Stage
583487,2021-02-19,2021-02-19T19:00:00Z,,Tikitakan,Peak,127590,127975,1,0,Tikitakan,127590,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583574,2021-02-05,,,BLUEJAYS,GROND,127262,128007,1,0,BLUEJAYS,127262,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583573,2021-02-05,,,los kogutos,Movistar KOI,127837,125785,0,1,Movistar KOI,125785,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583575,2021-02-05,,,Sinners,Pompa Team,127014,126514,1,0,Sinners,127014,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583576,2021-02-05,,,Project X,Lilmix,126715,126417,1,0,Project X,126715,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583566,2021-02-04,,,Ex-SPARX ESPORTS,AGF Esports Academy,128598,128395,1,0,Ex-SPARX ESPORTS,128598,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583572,2021-02-04,,,EC Kyiv,SJ,128230,125768,1,0,EC Kyiv,128230,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583571,2021-02-04,,,Sampi,Tricked,127496,125071,0,1,Tricked,125071,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583570,2021-02-04,,,Young Ninjas,ex-Tenerife Titans,128327,128595,0,1,ex-Tenerife Titans,128595,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583569,2021-02-04,,,Saints,NLG,128596,127019,0,1,NLG,127019,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583568,2021-02-04,,,Movistar KOI,Sissi State Punks,125785,127933,1,0,Movistar KOI,125785,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583567,2021-02-04,,,ESIMED,Pompa Team,128048,126514,0,1,Pompa Team,126514,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583565,2021-02-04,,,BLINK,Sinners,127279,127014,1,0,BLINK,127279,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583564,2021-02-04,,,Audacity,SG.pro,128600,126716,0,1,SG.pro,126716,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583559,2021-02-03,,,KOVA,Budapest Five,126318,126698,0,1,Budapest Five,126698,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583563,2021-02-03,,,Sampi,mCon,127496,128563,1,0,Sampi,127496,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583562,2021-02-03,,,ex-Tenerife Titans,NLG,128595,127019,0,1,NLG,127019,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
583561,2021-02-03,,,SJ,NOSTALGIA,125768,128280,0,1,NOSTALGIA,128280,finished,best_of,1,ESEA,Advanced Europe,Regular season,ESEA / Advanced Europe / Regular season
